Year,District,Code,Location,Robbery,Street_robbery,Injury,Agg_assault,Threat,Theft,Car,From_car,Bike,Burglary,Fire,Arson,Damage,Graffiti,Drugs,Local,Latitude,Longitude
2012,Mitte,10111,Tiergarten Süd,70,46,586,194,118,2263,18,328,120,68,16,4,273,26,171,1032,52.52549055,13.35228896
2012,Mitte,10112,Regierungsviertel,65,29,474,123,142,3203,10,307,170,37,10,4,380,124,98,870,52.5194841,13.3764685
2012,Mitte,10113,Alexanderplatz,242,136,1541,454,304,8988,81,792,822,275,49,27,1538,522,435,3108,52.5219814,13.41363572
2012,Mitte,10221,Moabit West,130,51,629,185,199,2470,94,410,325,161,42,22,516,64,259,1403,52.5308177,13.3264507
2012,Mitte,10222,Moabit Ost,89,45,549,147,204,2290,63,353,337,90,33,10,392,52,416,1212,52.5370052,13.3509974
2012,Mitte,10331,Osloer Straße,120,46,785,223,267,3666,52,429,280,226,40,18,521,72,246,1699,52.5571597,13.3732715
2012,Mitte,10442,Wedding Zentrum,216,104,1210,426,384,3396,57,424,294,298,54,23,806,87,570,2556,52.5456519,13.3451694
2012,Pankow,30101,Buch,16,6,154,45,48,1035,32,190,199,21,18,6,191,35,31,323,52.6366724,13.4999292
2012,Pankow,30203,Buchholz,9,3,71,13,38,456,21,69,56,38,10,1,114,7,16,182,52.6105131,13.4281104
2012,Pankow,30304,Karow,3,1,44,6,32,481,11,85,183,19,10,6,118,24,4,151,52.6150868,13.4862758
2012,Pankow,30406,Pankow Zentrum,33,11,212,62,83,2089,60,220,511,61,13,5,382,101,35,811,52.5770168,13.40101573
2012,Pankow,30408,Pankow Süd,21,9,204,35,67,1235,56,170,388,50,10,7,298,78,24,616,52.5662347,13.415688
2012,Pankow,30509,Weißensee,34,15,308,78,99,1537,46,192,219,93,18,11,486,152,54,838,52.5546193,13.4630018
2012,Pankow,30612,Prenzlauer Berg Nord,30,10,159,33,60,1870,86,146,407,67,5,0,282,75,33,582,52.5481466,13.4165959
2012,Pankow,30613,Helmholtzplatz,23,6,189,47,52,1215,41,74,283,99,9,3,261,100,29,614,52.5430211,13.41903262
2012,Pankow,30614,Prenzlauer Berg Ost,60,28,240,72,79,2063,57,216,289,61,19,9,439,131,51,714,52.5430767,13.4149784
2012,Pankow,39900,"Bezirk (Pk), nicht zuzuordnen",5,4,79,23,19,315,9,24,9,0,2,1,150,111,8,115,52.56049795,13.48790547
2012,Charlottenburg-Wilmersdorf,40101,Charlottenburg-Nord,41,14,278,73,129,1006,70,304,60,99,9,2,245,5,159,740,52.5405253,13.2962663
2012,Charlottenburg-Wilmersdorf,40202,Heerstrasse,21,9,213,93,36,579,37,155,58,51,7,2,141,36,31,353,52.5087199,13.2183525
2012,Charlottenburg-Wilmersdorf,40203,Westend,40,12,207,48,117,1974,57,282,170,112,7,2,317,36,38,662,52.5133992,13.2558416
2012,Charlottenburg-Wilmersdorf,40304,Schloß Charlottenburg,41,12,243,55,90,1140,31,133,288,88,9,3,231,23,44,616,52.5206424,13.29271035
2012,Charlottenburg-Wilmersdorf,40305,Mierendorffplatz,32,12,165,46,61,893,31,211,148,38,12,5,150,18,111,413,52.5263437,13.3047721
2012,Charlottenburg-Wilmersdorf,40306,Otto-Suhr-Allee,53,15,421,113,128,2273,37,292,429,113,15,6,436,95,112,952,52.5162507,13.3099999
2012,Charlottenburg-Wilmersdorf,40307,Neue Kantstraße,43,23,164,39,86,1283,65,254,298,105,8,2,169,20,80,560,52.506349,13.2804409
2012,Charlottenburg-Wilmersdorf,40308,Kantstraße,65,23,251,65,112,2565,24,188,248,116,9,3,234,22,118,691,52.5059993,13.3203256
2012,Charlottenburg-Wilmersdorf,40309,Kurfürstendamm,135,59,1083,361,159,4140,54,302,197,94,7,1,405,95,178,1685,52.4994525,13.3036988
2012,Charlottenburg-Wilmersdorf,40310,Halensee,19,8,137,29,62,949,42,188,156,77,8,3,149,23,26,393,52.4972262,13.2929986
2012,Charlottenburg-Wilmersdorf,40411,Grunewald,10,5,98,11,58,867,32,268,84,194,4,0,128,14,5,391,52.4873475,13.2637538
2012,Charlottenburg-Wilmersdorf,40412,Schmargendorf,5,1,82,18,41,731,31,224,77,86,3,1,104,12,10,255,52.4789022,13.2929962
2012,Charlottenburg-Wilmersdorf,40413,Wiesbadener Straße,12,4,64,12,34,642,30,125,129,54,1,1,143,21,9,224,52.4718331,13.3169366
2012,Charlottenburg-Wilmersdorf,40514,Düsseldorfer Straße,41,18,241,67,117,1779,68,362,301,158,14,6,376,113,54,741,52.4960607,13.3197193
2012,Charlottenburg-Wilmersdorf,40515,Barstraße,19,10,110,33,43,774,23,160,142,44,6,3,151,29,14,302,52.4898341,13.3144075
2012,Charlottenburg-Wilmersdorf,40516,Volkspark Wilmersdorf,64,23,252,67,110,1656,67,241,378,114,10,4,303,66,63,712,52.48338525,13.32550347
2012,Charlottenburg-Wilmersdorf,40617,Forst Grunewald,1,0,10,3,4,94,1,56,5,0,2,1,11,1,0,21,52.4927826,13.21100356
2012,Spandau,50101,Hakenfelde,17,3,225,49,86,930,20,192,80,54,6,3,239,15,28,651,52.5609908,13.1967693
2012,Spandau,50102,Falkenhagener Feld,40,14,432,113,181,1157,31,167,115,73,28,11,430,46,54,1166,52.5524034,13.1668941
2012,Spandau,50103,Spandau Mitte,108,52,692,192,258,2371,30,201,279,68,26,7,593,103,206,1607,52.5310341,13.2145545
2012,Spandau,50204,Brunsbütteler Damm,14,5,172,41,61,772,27,109,64,47,22,3,221,21,11,395,52.5349964,13.1222707
2012,Spandau,50205,Heerstraße Nord,41,20,399,95,157,1108,36,130,67,91,33,15,427,34,29,1013,52.5216282,13.1630709
2012,Spandau,50206,Wilhelmstadt,68,25,472,116,177,2158,18,214,235,100,25,10,568,85,89,1191,52.5139207,13.1914518
2012,Spandau,50307,Haselhorst,36,16,165,35,70,1143,36,208,90,52,10,1,261,21,39,575,52.5413233,13.231156
2012,Spandau,50308,Siemensstadt,29,7,168,36,63,739,30,111,84,39,8,4,167,30,25,405,52.5398082,13.2568934
2012,Spandau,50409,Gatow/Kladow,5,1,76,15,25,435,24,129,34,65,13,5,131,20,0,158,52.4852145,13.1575226
2012,Steglitz-Zehlendorf,60101,Schloßstr.,61,28,217,50,51,2375,29,227,184,79,11,1,255,57,50,529,52.461481,13.3250946
2012,Steglitz-Zehlendorf,60102,Albrechtstr.,57,20,258,29,161,1581,88,347,202,136,14,8,439,111,44,832,52.4564821,13.3222336
2012,Steglitz-Zehlendorf,60203,Lankwitz,36,15,268,51,161,1084,45,200,104,89,11,3,383,75,55,748,52.4336977,13.3454858
2012,Steglitz-Zehlendorf,60204,Ostpreußendamm,17,7,213,59,68,1165,53,244,194,96,13,5,310,37,29,482,52.4212825,13.3109161
2012,Steglitz-Zehlendorf,60305,Teltower Damm,23,7,151,38,86,1254,36,243,301,103,10,2,339,70,50,445,52.4348412,13.2602418
2012,Steglitz-Zehlendorf,60306,Drakestr.,18,4,206,33,106,1749,90,312,220,136,15,8,346,61,21,637,52.4420686,13.2976878
2012,Steglitz-Zehlendorf,60407,Zehlendorf Südwest,27,7,141,21,83,1006,59,269,95,113,21,6,248,26,17,380,52.45500135,13.30537223
2012,Steglitz-Zehlendorf,60408,Zehlendorf Nord,44,22,259,51,120,1952,62,519,250,208,20,6,538,164,29,701,52.45939305,13.2763732
2012,Tempelhof-Schöneberg,70101,Schöneberg-Nord,197,98,772,215,239,4048,53,425,481,292,31,11,729,157,214,1921,52.48301055,13.36895252
2012,Tempelhof-Schöneberg,70202,Schöneberg-Süd,80,35,510,119,162,2699,62,312,557,219,26,11,545,145,239,1297,52.4887863,13.34534357
2012,Tempelhof-Schöneberg,70303,Friedenau,44,15,306,66,165,2170,66,329,397,122,22,8,426,107,70,851,52.472075,13.3296424
2012,Tempelhof-Schöneberg,70404,Tempelhof,100,36,581,129,351,3645,122,753,352,159,50,20,813,129,291,1680,52.4632921,13.3864477
2012,Tempelhof-Schöneberg,70505,Mariendorf,57,20,367,79,150,1871,74,508,127,131,29,8,501,75,84,1006,52.44008,13.3900277
2012,Tempelhof-Schöneberg,70606,Marienfelde,25,11,252,41,98,1357,62,220,129,52,18,5,276,34,54,619,52.4125766,13.3665916
2012,Tempelhof-Schöneberg,70707,Lichtenrade,38,24,322,60,114,1267,63,421,118,148,32,6,472,70,87,745,52.3934559,13.4020397
2012,Neukölln,80101,Schillerpromenade,169,84,676,213,252,2400,27,221,177,150,31,18,529,85,913,1965,52.475498,13.4223765
2012,Neukölln,80103,Reuterstraße,108,54,589,181,163,2679,48,264,310,245,24,11,509,97,226,1573,52.4872088,13.4289639
2012,Neukölln,80104,Rixdorf,113,55,605,198,221,2088,38,316,261,201,32,16,550,80,103,1542,52.4740949,13.4456092
2012,Neukölln,80105,Köllnische Heide,26,14,251,71,121,1190,49,303,44,60,15,4,315,61,39,631,52.4696457,13.4679658
2012,Neukölln,80206,Britz,79,49,420,105,168,2132,71,566,169,175,27,12,501,63,65,1079,52.4483324,13.4423401
2012,Neukölln,80207,Buckow,26,7,206,58,107,634,24,225,45,62,11,3,281,63,14,499,52.4186619,13.4289504
2012,Neukölln,80308,Gropiusstadt,52,30,350,72,131,1942,25,195,140,67,13,1,525,79,32,1070,52.4249493,13.466183
